172.16.46.239,172.16.47.255,3,150,0.750124,1381241528.982531,1381241530.482648,1.500117
172.16.46.239,224.0.0.252,2,180,0.099931,1381241522.466757,1381241522.566688,0.099931
172.16.46.245,255.255.255.255,1,178,0.000000,1381241516.351089,1381241516.351089,0.000000
172.16.47.20,172.16.47.255,1,112,0.000000,1381241515.344717,1381241515.344717,0.000000
172.16.47.20,255.255.255.255,2,224,0.004505,1381241515.340203,1381241515.344708,0.004505
172.16.47.50,172.16.47.255,3,150,0.750892,1381241515.676068,1381241517.176969,1.500901
172.16.47.50,224.0.0.252,2,44,0.409743,1381241515.677544,1381241516.087287,0.409743
172.16.47.66,172.16.47.255,6,300,0.749955,1381241518.879501,1381241529.965282,11.085781
172.16.47.66,224.0.0.252,4,88,0.409230,1381241518.879954,1381241528.875765,9.995811
172.16.47.72,172.16.47.255,3,150,0.759163,1381241521.742563,1381241523.250883,1.508320
172.16.47.72,224.0.0.252,2,44,0.100598,1381241521.441692,1381241521.542290,0.100598
172.16.47.72,255.255.255.255,1,300,0.000000,1381241521.446563,1381241521.446563,0.000000
172.16.47.84,172.16.47.255,12,600,0.001017,1381241515.906637,1381241517.440095,1.533458
172.16.47.84,224.0.0.252,8,176,0.001166,1381241515.606543,1381241515.740221,0.133678
172.16.47.84,255.255.255.255,1,300,0.000000,1381241515.612304,1381241515.612304,0.000000
172.16.47.108,172.16.47.255,11,550,0.752920,1381241512.960836,1381241531.460814,18.499978
172.16.47.108,224.0.0.252,7,147,4.580173,1381241516.457376,1381241531.461996,15.004620
172.16.47.114,172.16.47.255,14,923,0.764506,1381241516.031501,1381241531.023130,14.991629
172.16.47.114,224.0.0.252,6,144,0.108670,1381241515.726945,1381241529.291774,13.564829
172.16.47.118,172.16.47.255,1,112,0.000000,1381241517.523483,1381241517.523483,0.000000
172.16.47.118,255.255.255.255,3,336,0.017523,1381241517.505758,1381241517.523311,0.017553
172.16.47.147,172.16.47.255,12,600,0.750003,1381241514.079161,1381241529.172526,15.093365
172.16.47.147,224.0.0.252,8,176,0.099957,1381241513.779431,1381241527.472706,13.693275
172.16.47.155,172.16.47.255,4,200,0.799997,1381241513.206267,1381241523.706689,10.500422
172.16.47.155,224.0.0.252,2,48,0.410773,1381241522.156045,1381241522.566818,0.410773
172.16.47.160,172.16.47.254,6,0,0.499860,1381241529.360577,1381241530.357450,0.996873
172.16.47.169,172.16.47.255,6,300,0.027124,1381241527.416415,1381241528.942699,1.526284
172.16.47.169,224.0.0.252,4,88,0.027471,1381241527.116422,1381241527.243184,0.126762
172.16.47.193,172.16.47.255,3,150,0.751212,1381241520.371775,1381241521.873920,1.502145
172.16.47.193,224.0.0.252,2,44,0.410104,1381241520.372633,1381241520.782737,0.410104
172.16.47.213,172.16.47.255,9,450,0.622539,1381241514.001279,1381241530.185971,16.184692
172.16.47.225,172.16.47.254,6,0,0.506206,1381241530.324124,1381241531.331043,1.006919
172.16.47.226,172.16.47.255,56,2800,0.014802,1381241514.449177,1381241531.263087,16.813910
172.16.47.226,224.0.0.252,40,886,0.004888,1381241514.137014,1381241530.296331,16.159317
172.16.47.226,255.255.255.255,1,300,0.000000,1381241514.127659,1381241514.127659,0.000000
172.16.47.247,172.16.47.255,3,150,0.754478,1381241519.783635,1381241521.288166,1.504531
172.16.47.247,224.0.0.252,2,44,0.410335,1381241519.784529,1381241520.194864,0.410335
172.16.47.254,173.194.36.33,65,10271,0.001078,1381241516.183299,1381241526.744391,10.561092
172.16.47.254,173.194.36.36,18,4621,0.001509,1381241516.182654,1381241526.743817,10.561163
172.16.47.254,173.194.36.42,49,14128,0.006204,1381241516.183082,1381241526.744152,10.561070
172.16.47.254,173.194.36.53,265,182833,0.000670,1381241516.273246,1381241526.916238,10.642992
